volcano_name,latitude,longitude,error,status
Reventador,-0.077,-77.656,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Pululahua,0.0464,-78.49,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Guagua Pichincha,-0.171,-78.598,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Atacazo,-0.353,-78.617,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Chacana,-0.375,-78.25,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Antisana,-0.481,-78.141,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Aliso,-0.53,-78.0,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Cotopaxi,-0.677,-78.436,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Quilotoa,-0.8592,-78.9044,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Chimborazo,-1.469,-78.817,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tungurahua,-1.467,-78.442,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sangay,-2.005,-78.341,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Fernandina,-0.37,-91.55,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ecuador,-0.02,-91.546,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Wolf,0.02,-91.35,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Darwin,-0.18,-91.28,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Alcedo,-0.43,-91.12,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Negra, Sierra",-0.83,-91.17,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Azul, Cerro",-0.92,-91.408,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Pinta,0.5858,-90.7553,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Marchena,0.33,-90.47,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Santiago,-0.22,-90.77,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Quimsachata-Oroscocha,-14.131,-71.363,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Andahua-Orcopampa,-15.42,-72.33,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Huambo,-15.78,-72.08,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sabancaya,-15.787,-71.857,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Misti, El",-16.2991,-71.4056,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ubinas,-16.345,-70.8972,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Huaynaputina,-16.6144,-70.8542,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ticsani,-16.7586,-70.5981,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tutupaca,-17.026,-70.372,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Yucamane,-17.184,-70.196,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
